Wall time,Step,Value
1705620473.836193,5504,-104.1778564453125
1705620487.13908,15104,-99.35862731933594
1705620500.1620102,24704,-96.06781005859375
1705620514.913512,34304,-87.22806549072266
1705620531.190805,43904,-99.5564956665039
1705620552.4452019,53504,-84.81087493896484
1705620573.887829,63104,-86.59919738769531
1705620591.8604429,72704,-89.76582336425781
1705620609.1809652,82304,-82.03169250488281
1705620626.467633,91904,-84.2020034790039
1705620643.1370728,101504,-82.28146362304688
1705620660.4181278,111104,-86.56693267822266
1705620676.55162,120704,-82.61767578125
1705620692.535778,130304,-83.81651306152344
1705620709.174816,139904,-73.01271057128906
1705620725.61294,149504,-85.71035766601562
1705620742.182389,159104,-79.61846160888672
1705620758.198009,168704,-75.99565124511719
1705620775.9416268,178304,-84.71168518066406
1705620790.4284759,187904,-73.57969665527344
1705620804.750195,197504,-73.57616424560547
1705620819.353632,207104,-77.97293853759766
1705620832.984242,216704,-82.47916412353516
1705620846.700172,226304,-70.71739196777344
1705620860.402803,235904,-76.95265197753906
1705620874.1636322,245504,-79.02791595458984
1705620889.0522702,255104,-75.25857543945312
1705620902.670868,264704,-76.3277359008789
1705620916.4321752,274304,-74.04549407958984
1705620930.118272,283904,-76.08477783203125
1705620943.84565,293504,-67.01400756835938
1705620957.692513,303104,-77.47289276123047
1705620971.869601,312704,-76.09180450439453
1705620986.256562,322304,-77.53002166748047
1705621002.890512,331904,-73.59104919433594
1705621017.9822552,341504,-70.72885131835938
1705621032.611973,351104,-75.59063720703125
1705621047.261824,360704,-71.00860595703125
1705621062.112891,370304,-73.07621765136719
1705621076.6987069,379904,-70.65445709228516
1705621091.7662551,389504,-70.78177642822266
1705621107.096467,399104,-76.16460418701172
1705621121.9801059,408704,-71.29523468017578
1705621136.618151,418304,-72.32415771484375
1705621151.4599261,427904,-68.74557495117188
1705621166.138746,437504,-72.1640625
1705621180.3784919,447104,-70.05620574951172
1705621194.7655838,456704,-76.52992248535156
1705621209.636092,466304,-69.17159271240234
1705621224.2063098,475904,-70.61876678466797
