Wall time,Step,Value
1705620481.2682061,999,4.3131567508680746e-05
1705620495.875551,1999,2.6652893211576156e-05
1705620511.6334631,2999,1.3060805031273048e-05
1705620528.583974,3999,9.300006240664516e-06
1705620552.070305,4999,6.517706879094476e-06
1705620576.6386728,5999,4.156695467827376e-06
1705620595.052324,6999,4.1907023842213675e-06
1705620615.281698,7999,2.5299989374616416e-06
1705620633.1793559,8999,2.64716504716489e-06
1705620652.534664,9999,2.347261215618346e-06
1705620671.2466161,10999,1.6675594451953657e-06
1705620688.933972,11999,1.4475403986580204e-06
1705620707.049301,12999,8.910943165574281e-07
1705620725.4370291,13999,9.009883683575026e-07
1705620743.7251358,14999,8.679018037582864e-07
1705620762.255597,15999,5.346844886844337e-07
1705620780.44223,16999,6.652622346337012e-07
1705620796.166114,17999,4.5288402361620683e-07
1705620813.372475,18999,3.185303967256914e-07
1705620828.428519,19999,3.5527611430552497e-07
1705620843.7042098,20999,2.460138546211965e-07
1705620858.745523,21999,2.2288139689408126e-07
1705620873.993512,22999,2.83951891333345e-07
1705620890.2908978,23999,1.3932584863596276e-07
1705620905.58136,24999,2.2718568004620465e-07
1705620920.574189,25999,1.7462552648339624e-07
1705620935.7130811,26999,1.897430053077187e-07
1705620951.5560782,27999,1.160505078701135e-07
1705620966.981762,28999,1.5526180163760728e-07
1705620982.90272,29999,6.962071097404987e-08
1705621000.665112,30999,5.06324440152639e-08
1705621017.8131928,31999,3.9587582989497605e-08
1705621034.299586,32999,2.2348267236793617e-07
1705621050.1116018,33999,7.160058856925389e-08
1705621066.702174,34999,5.287573756618258e-08
1705621082.853695,35999,9.810833745405034e-08
1705621100.3638458,36999,4.469017511610218e-08
1705621117.091865,37999,1.0321812737856817e-07
1705621133.271011,38999,7.984275640637861e-08
1705621149.610454,39999,8.294171749412271e-08
1705621165.971663,40999,5.972128036546565e-08
1705621181.806321,41999,4.626708260957457e-08
1705621197.8038871,42999,5.069201236551635e-08
1705621214.050912,43999,1.2163933149622608e-07
1705621230.9071622,44999,3.8241783073544866e-08
